instruction,output,input
Substitute the medical jargon with layman terms,"body cavity below diaphragm that contains stomach, intestines, liver and other organs",ABDOMEN
Substitute the medical jargon with layman terms,"body cavity below diaphragm that contains stomach, intestines, liver and other organs",ABDOMINAL
Substitute the medical jargon with layman terms,"take up fluids, take in",ABSORB
Substitute the medical jargon with layman terms,condition when blood contains more acid than normal,ACIDOSIS
Substitute the medical jargon with layman terms,"clearness, keenness, esp. of vision and airways",ACUITY
Substitute the medical jargon with layman terms,"new, recent, sudden, urgent",ACUTE
Substitute the medical jargon with layman terms,swollen lymph nodes (glands),ADENOPATHY
Substitute the medical jargon with layman terms,"helpful, assisting, aiding, supportive",ADJUVANT
Substitute the medical jargon with layman terms,added treatment (usually to a standard treatment),ADJUVANT TREATMENT
Substitute the medical jargon with layman terms,drug that kills bacteria and other germs,ANTIBIOTIC
Substitute the medical jargon with layman terms,drug that kills bacteria and other germs,ANTIMICROBIAL
Substitute the medical jargon with layman terms,drug that works against the growth of certain viruses,ANTIRETROVIRAL
Substitute the medical jargon with layman terms,"side effect, bad reaction, unwanted response",ADVERSE EFFECT
Substitute the medical jargon with layman terms,"rash, hives, swelling, trouble breathing",ALLERGIC REACTION
Substitute the medical jargon with layman terms,"walk, able to walk",AMBULATE
Substitute the medical jargon with layman terms,"walk, able to walk",AMBULATION
Substitute the medical jargon with layman terms,"walk, able to walk",AMBULATORY
Substitute the medical jargon with layman terms,"serious, potentially life-threatening allergic reaction",ANAPHYLAXIS
Substitute the medical jargon with layman terms,decreased red blood cells; low red cell blood count,ANEMIA
Substitute the medical jargon with layman terms,"a drug or agent used to decrease the feeling of pain, or eliminate the feeling of pain by putting you to sleep",ANESTHETIC
Substitute the medical jargon with layman terms,pain resulting from not enough blood flowing to the heart,ANGINA
Substitute the medical jargon with layman terms,pain resulting from not enough blood flowing to the heart,ANGINA PECTORIS
Substitute the medical jargon with layman terms,disorder in which person will not eat; lack of appetite,ANOREXIA
Substitute the medical jargon with layman terms,related to the inner side of the forearm,ANTECUBITAL
Substitute the medical jargon with layman terms,protein made in the body in response to foreign substance,ANTIBODY
Substitute the medical jargon with layman terms,drug used to prevent seizures,ANTICONVULSANT
Substitute the medical jargon with layman terms,a drug that lowers fat levels in the blood,ANTILIPEMIC
Substitute the medical jargon with layman terms,a drug used to relieve coughing,ANTITUSSIVE
Substitute the medical jargon with layman terms,abnormal heartbeat; any change from the normal heartbeat,ARRHYTHMIA
Substitute the medical jargon with layman terms,"fluid entering the lungs, such as after vomiting",ASPIRATION
Substitute the medical jargon with layman terms,lab test,ASSAY
Substitute the medical jargon with layman terms,"to learn about, measure, evaluate, look at",ASSESS
Substitute the medical jargon with layman terms,"lung disease associated with tightening of air passages, making breathing difficult",ASTHMA
Substitute the medical jargon with layman terms,without symptoms,ASYMPTOMATIC
Substitute the medical jargon with layman terms,armpit,AXILLA
Substitute the medical jargon with layman terms,"not malignant, without serious consequences",BENIGN
Substitute the medical jargon with layman terms,twice a day,BID
Substitute the medical jargon with layman terms,"carried by, to make stick together, transported",BINDING
Substitute the medical jargon with layman terms,the extent to which a drug or other substance becomes available to the body,BIOAVAILABILITY
Substitute the medical jargon with layman terms,series of blood tests,BLOOD PROFILE
Substitute the medical jargon with layman terms,a large amount given all at once,BOLUS
Substitute the medical jargon with layman terms,the amount of calcium and other minerals in a given amount of bone,BONE MASS
Substitute the medical jargon with layman terms,"slow, irregular heartbeats",BRADYARRHYTHMIAS
Substitute the medical jargon with layman terms,slow heartbeat,BRADYCARDIA
Substitute the medical jargon with layman terms,breathing distress caused by narrowing of the airways,BRONCHOSPASM
Substitute the medical jargon with layman terms,cancer-causing,CARCINOGENIC
Substitute the medical jargon with layman terms,type of cancer,CARCINOMA
Substitute the medical jargon with layman terms,related to the heart,CARDIAC
Substitute the medical jargon with layman terms,return to normal heartbeat by electric shock,CARDIOVERSION
Substitute the medical jargon with layman terms,a tube for withdrawing or giving fluids,CATHETER
Substitute the medical jargon with layman terms,brain and spinal cord,CENTRAL NERVOUS SYSTEM (CNS)
Substitute the medical jargon with layman terms,damage to the brain,CEREBRAL TRAUMA
Substitute the medical jargon with layman terms,stopping,CESSATION
Substitute the medical jargon with layman terms,coronary heart disease,CHD
Substitute the medical jargon with layman terms,"treatment of disease, usually cancer, by chemical agents",CHEMOTHERAPY
Substitute the medical jargon with layman terms,"continuing for a long time, ongoing",CHRONIC
Substitute the medical jargon with layman terms,pertaining to medical care,CLINICAL
Substitute the medical jargon with layman terms,an experiment involving human subjects,CLINICAL TRIAL
Substitute the medical jargon with layman terms,unconscious state,COMA
Substitute the medical jargon with layman terms,total disappearance of disease,COMPLETE RESPONSE
Substitute the medical jargon with layman terms,present before birth,CONGENITAL
Substitute the medical jargon with layman terms,redness and irritation of the thin membrane that covers the eye,CONJUNCTIVITIS
Substitute the medical jargon with layman terms,treatment phase intended to make a remission permanent (follows induction phase),CONSOLIDATION PHASE
Substitute the medical jargon with layman terms,research study in which the experimental treatment or procedure is compared to a standard (control) treatment or procedure,CONTROLLED TRIAL
Substitute the medical jargon with layman terms,association of multiple institutions to perform clinical trials,COOPERATIVE GROUP
Substitute the medical jargon with layman terms,"related to the blood vessels that supply the heart, or to the heart itself",CORONARY
Substitute the medical jargon with layman terms,computerized series of x-rays (computerized tomography),CT SCAN (CAT)
Substitute the medical jargon with layman terms,"test for infection, or for organisms that could cause infection",CULTURE
Substitute the medical jargon with layman terms,added together from the beginning,CUMULATIVE
Substitute the medical jargon with layman terms,relating to the skin,CUTANEOUS
Substitute the medical jargon with layman terms,stroke (cerebrovascular accident),CVA
Substitute the medical jargon with layman terms,pertaining to the skin,DERMATOLOGIC
Substitute the medical jargon with layman terms,lower number in a blood pressure reading,DIASTOLIC
Substitute the medical jargon with layman terms,"toward the end, away from the center of the body",DISTAL
Substitute the medical jargon with layman terms,"""water pill"" or drug that causes increase in urination",DIURETIC
Substitute the medical jargon with layman terms,device using sound waves to diagnose or test,DOPPLER
Substitute the medical jargon with layman terms,study in which neither investigators nor subjects know what drug or treatment the subject is receiving,DOUBLE BLIND
Substitute the medical jargon with layman terms,state of improper function,DYSFUNCTION
Substitute the medical jargon with layman terms,abnormal cells,DYSPLASIA
Substitute the medical jargon with layman terms,sound wave test of the heart,ECHOCARDIOGRAM
Substitute the medical jargon with layman terms,excess fluid collecting in tissue,EDEMA
Substitute the medical jargon with layman terms,electric brain wave tracing (electroencephalogram),EEG
Substitute the medical jargon with layman terms,effectiveness,EFFICACY
Substitute the medical jargon with layman terms,electrical tracing of the heartbeat (ECG or EKG),ELECTROCARDIOGRAM
Substitute the medical jargon with layman terms,an imbalance of minerals in the blood,ELECTROLYTE IMBALANCE
Substitute the medical jargon with layman terms,vomiting,EMESIS
Substitute the medical jargon with layman terms,based on experience,EMPIRIC
Substitute the medical jargon with layman terms,examination of an internal part of the body with a lighted tube,ENDOSCOPIC EXAMINATION
Substitute the medical jargon with layman terms,by way of the intestines,ENTERAL
Substitute the medical jargon with layman terms,outside the spinal cord,EPIDURAL
Substitute the medical jargon with layman terms,get rid of (such as disease),ERADICATE
Substitute the medical jargon with layman terms,examined for a medical condition,"EVALUATED, ASSESSED"
Substitute the medical jargon with layman terms,"rapid review of a protocol by the IRB Chair without full committee approval, permitted with certain low-risk research studies",EXPEDITED REVIEW
Substitute the medical jargon with layman terms,outside the body,EXTERNAL
Substitute the medical jargon with layman terms,"to leak outside of a planned area, such as out of a blood vessel",EXTRAVASATE
Substitute the medical jargon with layman terms,"U.S. Food and Drug Administration, the branch of federal government that approves new drugs",FDA
Substitute the medical jargon with layman terms,"having many fibers, such as scar tissue",FIBROUS
Substitute the medical jargon with layman terms,irregular beat of the heart or other muscle,FIBRILLATION
Substitute the medical jargon with layman terms,"pain prevention by giving drugs to cause loss of consciousness, as during surgery",GENERAL ANESTHESIA
Substitute the medical jargon with layman terms,pertaining to pregnancy,GESTATIONAL
Substitute the medical jargon with layman terms,amount of red blood cells in the blood,HEMATOCRIT
Substitute the medical jargon with layman terms,"a bruise, a black and blue mark",HEMATOMA
Substitute the medical jargon with layman terms,measuring of blood flow,HEMODYNAMIC MEASURING
Substitute the medical jargon with layman terms,breakdown in red blood cells,HEMOLYSIS
Substitute the medical jargon with layman terms,needle placed in the arm with blood thinner to keep the blood from clotting,HEPARIN LOCK
Substitute the medical jargon with layman terms,cancer or tumor of the liver,HEPATOMA
Substitute the medical jargon with layman terms,"disease that can be transmitted to oneâ€™s offspring, resulting in damage to future children",HERITABLE DISEASE
Substitute the medical jargon with layman terms,pertaining to the disease status of body tissues or cells,HISTOPATHOLOGIC
Substitute the medical jargon with layman terms,a portable machine for recording heart beats,HOLTER MONITOR
Substitute the medical jargon with layman terms,high blood calcium level,HYPERCALCEMIA
Substitute the medical jargon with layman terms,high blood potassium level,HYPERKALEMIA
Substitute the medical jargon with layman terms,high blood sodium level,HYPERNATREMIA
Substitute the medical jargon with layman terms,high blood pressure,HYPERTENSION
Substitute the medical jargon with layman terms,low blood calcium level,HYPOCALCEMIA
Substitute the medical jargon with layman terms,low blood potassium level,HYPOKALEMIA
Substitute the medical jargon with layman terms,low blood sodium level,HYPONATREMIA
Substitute the medical jargon with layman terms,low blood pressure,HYPOTENSION
Substitute the medical jargon with layman terms,a decrease of oxygen in the blood,HYPOXEMIA
Substitute the medical jargon with layman terms,a decrease of oxygen reaching body tissues,HYPOXIA
Substitute the medical jargon with layman terms,"surgical removal of the uterus, ovaries (female sex glands), or both uterus and ovaries",HYSTERECTOMY
Substitute the medical jargon with layman terms,caused by a physician or by treatment,IATROGENIC
Substitute the medical jargon with layman terms,"investigational device exemption, the license to test an unapproved new medical device",IDE
Substitute the medical jargon with layman terms,of unknown cause,IDIOPATHIC
Substitute the medical jargon with layman terms,"defense against, protection from",IMMUNITY
Substitute the medical jargon with layman terms,a protein that makes antibodies,IMMUNOGLOBIN
Substitute the medical jargon with layman terms,"drug which works against the body's immune (protective) response, often used in transplantation and diseases caused by immune system malfunction",IMMUNOSUPPRESSIVE
Substitute the medical jargon with layman terms,giving of drugs to help the body's immune (protective) system; usually used to destroy cancer cells,IMMUNOTHERAPY
Substitute the medical jargon with layman terms,abnormal function,IMPAIRED FUNCTION
Substitute the medical jargon with layman terms,placed in the body,IMPLANTED
Substitute the medical jargon with layman terms,"investigational new drug, the license to test an unapproved new drug",IND
Substitute the medical jargon with layman terms,beginning phase or stage of a treatment,INDUCTION PHASE
Substitute the medical jargon with layman terms,hardening,INDURATION
Substitute the medical jargon with layman terms,"remaining in a given location, such as a catheter",INDWELLING
Substitute the medical jargon with layman terms,death of tissue due to lack of blood supply,INFARCT
Substitute the medical jargon with layman terms,disease that is transmitted from one person to the next,INFECTIOUS DISEASE
Substitute the medical jargon with layman terms,"swelling that is generally painful, red, and warm",INFLAMMATION
Substitute the medical jargon with layman terms,"slow injection of a substance into the body, usually into the blood by means of a catheter",INFUSION
Substitute the medical jargon with layman terms,eating; taking by mouth,INGESTION
Substitute the medical jargon with layman terms,drug which acts against viruses; antiviral agent,INTERFERON
Substitute the medical jargon with layman terms,"occurring (regularly or irregularly) between two time points; repeatedly stopping, then starting again",INTERMITTENT
Substitute the medical jargon with layman terms,within the body,INTERNAL
Substitute the medical jargon with layman terms,inside of the body,INTERIOR
Substitute the medical jargon with layman terms,into the muscle; within the muscle,INTRAMUSCULAR
Substitute the medical jargon with layman terms,into the abdominal cavity,INTRAPERITONEAL
Substitute the medical jargon with layman terms,into the spinal fluid,INTRATHECAL
Substitute the medical jargon with layman terms,through the vein,INTRAVENOUS (IV)
Substitute the medical jargon with layman terms,in the bladder,INTRAVESICAL
Substitute the medical jargon with layman terms,the placement of a tube into the airway,INTUBATE
Substitute the medical jargon with layman terms,"puncturing, opening, or cutting the skin",INVASIVE PROCEDURE
Substitute the medical jargon with layman terms,a new drug that has not been approved by the FDA,INVESTIGATIONAL NEW DRUG (IND)
Substitute the medical jargon with layman terms,a treatment method which has not been proven to be beneficial or has not been accepted as standard care,INVESTIGATIONAL METHOD
Substitute the medical jargon with layman terms,decreased oxygen in a tissue (usually because of decreased blood flow),ISCHEMIA
Substitute the medical jargon with layman terms,surgical procedure in which an incision is made in the abdominal wall to enable a doctor to look at the organs inside,LAPAROTOMY
Substitute the medical jargon with layman terms,wound or injury; a diseased patch of skin,LESION
Substitute the medical jargon with layman terms,"sleepiness, tiredness",LETHARGY
Substitute the medical jargon with layman terms,low white blood cell count,LEUKOPENIA
Substitute the medical jargon with layman terms,fat,LIPID
Substitute the medical jargon with layman terms,fat content in the blood,LIPID CONTENT
Substitute the medical jargon with layman terms,fat and cholesterol levels in the blood,LIPID PROFILE (PANEL)
Substitute the medical jargon with layman terms,"creation of insensitivity to pain in a small, local area of the body, usually by injection of numbing drugs",LOCAL ANESTHESIA
Substitute the medical jargon with layman terms,"restricted to one area, limited to one area",LOCALIZED
Substitute the medical jargon with layman terms,"the cavity of an organ or tube (e.g., blood vessel)",LUMEN
Substitute the medical jargon with layman terms,"an x-ray of the lymph nodes or tissues after injecting dye into lymph vessels (e.g., in feet)",LYMPHANGIOGRAPHY
Substitute the medical jargon with layman terms,a type of white blood cell important in immunity (protection) against infection,LYMPHOCYTE
Substitute the medical jargon with layman terms,a cancer of the lymph nodes (or tissues),LYMPHOMA
Substitute the medical jargon with layman terms,"a vague feeling of bodily discomfort, feeling badly",MALAISE
Substitute the medical jargon with layman terms,condition in which something is not functioning properly,MALFUNCTION
Substitute the medical jargon with layman terms,"cancer or other progressively enlarging and spreading tumor, usually fatal if not successfully treated",MALIGNANCY
Substitute the medical jargon with layman terms,a type of brain tumor,MEDULLABLASTOMA
Substitute the medical jargon with layman terms,change in red blood cells,MEGALOBLASTOSIS
Substitute the medical jargon with layman terms,process of breaking down substances in the cells to obtain energy,METABOLIZE
Substitute the medical jargon with layman terms,spread of cancer cells from one part of the body to another,METASTASIS
Substitute the medical jargon with layman terms,drug used to treat infections caused by parasites (invading organisms that take up living in the body) or other causes of anaerobic infection (not requiring oxygen to survive),METRONIDAZOLE
Substitute the medical jargon with layman terms,"myocardial infarction, heart attack",MI
Substitute the medical jargon with layman terms,slight,MINIMAL
Substitute the medical jargon with layman terms,reduce as much as possible,MINIMIZE
Substitute the medical jargon with layman terms,check on; keep track of; watch carefully,MONITOR
Substitute the medical jargon with layman terms,ease of movement,MOBILITY
Substitute the medical jargon with layman terms,undesired result or complication,MORBIDITY
Substitute the medical jargon with layman terms,death,MORTALITY
Substitute the medical jargon with layman terms,the ability to move,MOTILITY
Substitute the medical jargon with layman terms,"magnetic resonance imaging, diagnostic pictures of the inside of the body, created using magnetic rather than x-ray energy",MRI
Substitute the medical jargon with layman terms,"moist lining of digestive, respiratory, reproductive, and urinary tracts","MUCOSA, MUCOUS MEMBRANE"
Substitute the medical jargon with layman terms,muscle aches,MYALGIA
Substitute the medical jargon with layman terms,pertaining to the heart muscle,MYOCARDIAL
Substitute the medical jargon with layman terms,heart attack,MYOCARDIAL INFARCTION
Substitute the medical jargon with layman terms,"tube placed in the nose, reaching to the stomach",NASOGASTRIC TUBE
Substitute the medical jargon with layman terms,the National Cancer Institute,NCI
Substitute the medical jargon with layman terms,death of tissue,NECROSIS
Substitute the medical jargon with layman terms,"tumor, may be benign or malignant",NEOPLASIA/NEOPLASM
Substitute the medical jargon with layman terms,a cancer of nerve tissue,NEUROBLASTOMA
Substitute the medical jargon with layman terms,pertaining to the nervous system,NEUROLOGICAL
Substitute the medical jargon with layman terms,decrease in the main part of the white blood cells,NEUTROPENIA
Substitute the medical jargon with layman terms,the National Institutes of Health,NIH
Substitute the medical jargon with layman terms,"not breaking, cutting, or entering the skin",NONINVASIVE
Substitute the medical jargon with layman terms,acquired in the hospital,NOSOCOMIAL
Substitute the medical jargon with layman terms,closing; blockage; obstruction,OCCLUSION
Substitute the medical jargon with layman terms,the study of tumors or cancer,ONCOLOGY
Substitute the medical jargon with layman terms,pertaining to the eye,OPHTHALMIC
Substitute the medical jargon with layman terms,"best, most favorable or desirable",OPTIMAL
Substitute the medical jargon with layman terms,by mouth,ORAL ADMINISTRATION
Substitute the medical jargon with layman terms,pertaining to the bones,ORTHOPEDIC
Substitute the medical jargon with layman terms,rare bone disorder characterized by dense bone,OSTEOPETROSIS
Substitute the medical jargon with layman terms,softening of the bones,OSTEOPOROSIS
Substitute the medical jargon with layman terms,female sex glands,OVARIES
Substitute the medical jargon with layman terms,given by injection,PARENTERAL
Substitute the medical jargon with layman terms,condition of being open,PATENCY
Substitute the medical jargon with layman terms,development of a disease or unhealthy condition,PATHOGENESIS
Substitute the medical jargon with layman terms,through the skin,PERCUTANEOUS
Substitute the medical jargon with layman terms,not central,PERIPHERAL
Substitute the medical jargon with layman terms,by mouth,PER OS (PO)
Substitute the medical jargon with layman terms,"the study of the way the body absorbs, distributes, and gets rid of a drug",PHARMACOKINETICS
Substitute the medical jargon with layman terms,"first phase of study of a new drug in humans to determine action, safety, and proper dosing",PHASE I
Substitute the medical jargon with layman terms,"second phase of study of a new drug in humans, intended to gather information about safety and effectiveness of the drug for certain uses",PHASE II
Substitute the medical jargon with layman terms,"large-scale studies to confirm and expand information on safety and effectiveness of new drug for certain uses, and to study common side effects",PHASE III
Substitute the medical jargon with layman terms,"studies done after the drug is approved by the FDA, especially to compare it to standard care or to try it for new uses",PHASE IV
Substitute the medical jargon with layman terms,irritation or inflammation of the vein,PHLEBITIS
Substitute the medical jargon with layman terms,an inactive substance; a pill/liquid that contains no medicine,PLACEBO
Substitute the medical jargon with layman terms,"improvement seen with giving subjects a placebo, though it contains no active drug/treatment",PLACEBO EFFECT
Substitute the medical jargon with layman terms,small particles in the blood that help with clotting,PLATELETS
Substitute the medical jargon with layman terms,possible,POTENTIAL
Substitute the medical jargon with layman terms,increase or multiply the effect of a drug or toxin (poison) by giving another drug or toxin at the same time (sometimes an unintentional result),POTENTIATE
Substitute the medical jargon with layman terms,an agent that helps another agent work better,POTENTIATOR
Substitute the medical jargon with layman terms,before birth,PRENATAL
Substitute the medical jargon with layman terms,a drug given to prevent disease or infection,PROPHYLAXIS
Substitute the medical jargon with layman terms,as needed,PRN
Substitute the medical jargon with layman terms,"outlook, probable outcomes",PROGNOSIS
Substitute the medical jargon with layman terms,lying on the stomach,PRONE
Substitute the medical jargon with layman terms,study following patients forward in time,PROSPECTIVE STUDY
Substitute the medical jargon with layman terms,"artificial part, most often limbs, such as arms or legs",PROSTHESIS
Substitute the medical jargon with layman terms,plan of study,PROTOCOL
Substitute the medical jargon with layman terms,"closer to the center of the body, away from the end",PROXIMAL
Substitute the medical jargon with layman terms,pertaining to the lungs,PULMONARY
Substitute the medical jargon with layman terms,every day; daily,QD
Substitute the medical jargon with layman terms,four times a day,QID
Substitute the medical jargon with layman terms,x-ray or cobalt treatment,RADIATION THERAPY
Substitute the medical jargon with layman terms,by chance (like the flip of a coin),RANDOM
Substitute the medical jargon with layman terms,chance selection,RANDOMIZATION
Substitute the medical jargon with layman terms,red blood cell,RBC
